Model,Epoch,Pretraining,Acc,,,,,,
AlexNet(Cifar10),5,Yes,0.4847,,,,,,
AlexNet(Cifar10),5,Yes,0.4868,,,,,,
AlexNet(Cifar10),5,Yes,0.4784,,,,,,
AlexNet(Cifar10),5,Yes,0.4857,,,,,,
AlexNet(Cifar10),5,Yes,0.5143,,,,,,
AlexNet(Cifar10),5,Yes,0.1,,,,,,
AlexNet(Cifar10),5,Yes,0.5170,,,,,,
AlexNet(Cifar10),5,Yes,0.5145,,,,,,
AlexNet(Cifar10),5,Yes,0.5202,,,,,,
AlexNet(Cifar10),5,Yes,0.5170,,,,,,
AlexNet(Cifar10),5,Yes,0.5461,,,,,,
AlexNet(Cifar10),5,Yes,0.1,,,,,,
,,,,,,,,,
,,,,,,,,,
AlexNet(Cifar10),10,Yes,0.5576,,,,,,
AlexNet(Cifar10),10,Yes,0.5618,,,,,,
AlexNet(Cifar10),10,Yes,0.5331,,,,,,
AlexNet(Cifar10),10,Yes,0.6051,,,,,,
AlexNet(Cifar10),10,Yes,0.5461,,,,,,
AlexNet(Cifar10),10,Yes,0.5796,,,,,,
AlexNet(Cifar10),10,Yes,0.5984,,,,,,
AlexNet(Cifar10),10,Yes,0.5522,,,,,,
AlexNet(Cifar10),10,Yes,0.5503,,,,,,
AlexNet(Cifar10),10,Yes,0.5465,,,,,,
AlexNet(Cifar10),10,Yes,0.1,,,,,,
AlexNet(Cifar10),10,Yes,0.5808,,,,,,
AlexNet(Cifar10),10,Yes,0.1,,,,,,
AlexNet(Cifar10),10,Yes,0.5854,,,,,,
AlexNet(Cifar10),10,Yes,0.5897,,,,,,
AlexNet(Cifar10),10,Yes,0.5871,,,,,,
AlexNet(Cifar10),10,Yes,0.5854,,,,,,
AlexNet(Cifar10),10,Yes,0.6091,,,,,,
AlexNet(Cifar10),10,Yes,0.6128,,,,,,
,,,,,,,,,
,,,,,,,,,
AlexNet(Cifar10),5,No,0.396,,,,,,
AlexNet(Cifar10),5,No,0.2414,,,,,,
AlexNet(Cifar10),5,No,0.3969,,,,,,
AlexNet(Cifar10),5,No,0.3645,,,,,,
AlexNet(Cifar10),5,No,0.394,,,,,,
AlexNet(Cifar10),5,No,0.1,,,,,,
AlexNet(Cifar10),5,No,0.4204,,,,,,
AlexNet(Cifar10),5,No,0.4147,,,,,,
AlexNet(Cifar10),5,No,0.4809,,,,,,
AlexNet(Cifar10),5,No,0.4204,,,,,,
AlexNet(Cifar10),5,No,0.1,,,,,,
AlexNet(Cifar10),5,No,0.5210,,,,,,
,,,,,,,,,
AlexNet(Cifar10),10,No,0.4562,,,,,,
AlexNet(Cifar10),10,No,0.5629,,,,,,
AlexNet(Cifar10),10,No,0.1,,,,,,
AlexNet(Cifar10),10,No,0.2731,,,,,,
AlexNet(Cifar10),10,No,0.1,,,,,,
,,,,,,,,,
VGG16(Cifar10),5,YES,0.5218,,,,,,
VGG16(Cifar10),5,YES,0.511,,,,,,
VGG16(Cifar10),5,YES,0.4994,,,,,,
VGG16(Cifar10),5,YES,0.5497,,,,,,
VGG16(Cifar10),5,YES,0.5360,,,,,,
VGG16(Cifar10),5,YES,0.5259,,,,,,
VGG16(Cifar10),5,YES,0.5265,,,,,,
VGG16(Cifar10),5,YES,0.5402,,,,,,
VGG16(Cifar10),5,YES,0.1,,,,,,
VGG16(Cifar10),5,YES,0.1,,,,,,
VGG16(Cifar10),5,YES,0.5991,,,,,,
VGG16(Cifar10),5,YES,0.6966,,,,,,
,,,,,,,,,
VGG16(Cifar10),10,YES,0.325,,,,,,
VGG16(Cifar10),10,YES,0.1049,,,,,,
VGG16(Cifar10),10,YES,0.6978,,,,,,
VGG16(Cifar10),10,YES,0.6882,,,,,,
VGG16(Cifar10),10,YES,0.7757,,,,,,
,,,,,,,,,
,,,,,,,,,
VGG16(Cifar10),5,No,0.2864,,,,,,
VGG16(Cifar10),5,No,0.1,,,,,,
VGG16(Cifar10),5,No,0.378,,,,,,
VGG16(Cifar10),5,No,0.4147,,,,,,
,,,,,,,,,
VGG16(Cifar10),10,No,0.5942,,,,,,
